ID,GamePSID,ReleaseYear,Size,is_Digital_game,is_Physical_game
9257,2628,2014.0,8458.24,0,0
9258,8108,2019.0,49745.92,0,0
9259,12764,2021.0,0.0,0,0
9260,12763,2021.0,0.0,0,0
9261,2627,2014.0,9953.28,0,0
9262,6551,2018.0,680.0,0,0
9263,10142,2020.0,679.0,0,0
9264,6550,2018.0,680.0,0,0
9265,11285,2020.0,172.0,0,0
9266,11284,2020.0,172.0,0,0
9267,11248,2020.0,76.0,0,0
9268,11249,2020.0,76.0,0,0
9269,11250,2020.0,76.0,0,0
9270,11251,2020.0,76.0,0,0
9271,13148,2021.0,0.0,0,0
9272,5608,2017.0,4556.8,0,0
9273,2694,2014.0,29644.8,0,0
9274,3254,2015.0,38778.88,0,0
9275,6030,2017.0,39936.0,0,0
9276,10132,2020.0,906.0,0,0
9277,6582,2018.0,177.0,0,0
9278,6663,2018.0,183.0,0,0
9279,6498,2018.0,182.0,0,0
9280,-5272,0.0,0.0,0,0
9281,-757,0.0,0.0,0,0
9282,12680,2021.0,0.0,0,0
9283,12679,2021.0,0.0,0,0
9284,11734,2021.0,3430.4,0,0
9285,12497,2021.0,0.0,0,0
9286,12498,2021.0,0.0,0,0
9287,12499,2021.0,0.0,0,0
9288,12500,2021.0,0.0,0,0
9289,4170,2016.0,2252.8,0,0
9290,8796,2019.0,893.0,0,0
9291,11520,2021.0,916.0,0,0
9292,7020,2018.0,936.0,0,0
9293,6159,2017.0,296.0,0,0
9294,4723,2016.0,292.0,0,0
9295,3779,2015.0,96.0,0,0
9296,7071,2018.0,1167.36,0,0
9297,7072,2018.0,1167.36,0,0
9298,9274,2019.0,272.0,0,0
9299,9532,2019.0,300.0,0,0
9300,9275,2019.0,279.0,0,0
9301,9530,2019.0,300.0,0,0
9302,4382,2016.0,3051.52,0,0
9303,13334,2021.0,0.0,0,0
9304,-4363,0.0,0.0,0,0
9305,13858,2021.0,0.0,0,0
9306,7835,2018.0,9523.2,0,0
9307,9658,2020.0,59.0,0,0
9308,9657,2020.0,57.0,0,0
9309,9659,2020.0,62.0,0,0
9310,12534,2021.0,0.0,0,0
9311,12535,2021.0,0.0,0,0
9312,12533,2021.0,0.0,0,0
9313,7542,2018.0,8427.52,0,0
9314,12791,2021.0,0.0,0,0
9315,12792,2021.0,0.0,0,0
9316,11951,2021.0,206.0,0,0
9317,11950,2021.0,206.0,0,0
9318,2652,2014.0,231.0,0,0
9319,12523,2014.0,231.0,0,0
9320,10206,2020.0,1556.48,0,0
9321,3646,2015.0,786.0,0,0
9322,5648,2017.0,1843.2,0,0
9323,6966,2018.0,1146.88,0,0
9324,6967,2018.0,1146.88,0,0
9325,8097,2019.0,162.0,0,0
9326,8098,2019.0,162.0,0,0
9327,8093,2019.0,195.0,0,0
9328,9478,2019.0,3471.36,0,0
9329,-2858,0.0,0.0,0,0
9330,13377,2021.0,0.0,0,0
9331,13378,2021.0,0.0,0,0
9332,8588,2019.0,783.0,0,0
9333,6693,2018.0,141.0,0,0
9334,8172,2019.0,1843.2,0,0
9335,10117,2020.0,154.0,0,0
9336,9338,2019.0,266.0,0,0
9337,8744,2019.0,141.0,0,0
9338,11593,2021.0,178.0,0,0
9339,11594,2021.0,177.0,0,0
9340,11388,2020.0,174.0,0,0
9341,10781,2020.0,546.0,0,0
9342,9075,2019.0,54.0,0,0
9343,12566,2021.0,0.0,0,0
9344,12567,2021.0,0.0,0,0
9345,12933,2021.0,0.0,0,0
9346,2794,2015.0,521.0,0,0
9347,4281,2016.0,16384.0,0,0
9348,12083,2021.0,3287.04,0,0
9349,9118,2019.0,938.0,0,0
9350,9127,2019.0,938.0,0,0
9351,6394,2017.0,374.0,0,0
9352,3768,2016.0,123.0,0,0
9353,12177,2021.0,1126.4,0,0
9354,12176,2021.0,1126.4,0,0
9355,8066,2019.0,269.0,0,0
9356,8743,2019.0,269.0,0,0
9357,8065,2019.0,272.0,0,0
9358,2433,2014.0,38400.0,0,0
9359,3152,2015.0,0.0,0,0
9360,6885,2018.0,934.0,0,0
9361,7575,2018.0,934.0,0,0
9362,4094,2016.0,39219.2,0,0
9363,5291,2017.0,39321.6,0,0
9364,6725,2018.0,43274.24,0,0
9365,8263,2019.0,47339.52,0,0
9366,9862,2020.0,46981.12,0,0
9367,12122,2021.0,45864.96,0,0
9368,7286,2019.0,12800.0,0,0
9369,13931,2021.0,0.0,0,0
9370,10539,2020.0,11458.56,0,0
9371,11819,2021.0,11018.24,0,0
9372,8752,2019.0,183.0,0,0
9373,8760,2019.0,259.0,0,0
9374,8751,2019.0,185.0,0,0
9375,8321,2019.0,1495.04,0,0
9376,5200,2017.0,4454.4,0,0
9377,4134,2016.0,411.0,0,0
9378,10334,2020.0,149.0,0,0
9379,12238,2021.0,0.0,0,0
9380,-3681,0.0,0.0,0,0
9381,5065,2017.0,96.0,0,0
9382,4967,2016.0,1751.04,0,0
9383,13732,2021.0,0.0,0,0
9384,13742,2021.0,0.0,0,0
9385,13733,2021.0,0.0,0,0
9386,-4955,0.0,0.0,0,0
9387,7823,2018.0,154.0,0,0
9388,9193,2019.0,17029.12,0,0
9389,9176,2019.0,17029.12,0,0
9390,9175,2019.0,17029.12,0,0
9391,9174,2019.0,17029.12,0,0
9392,7799,2018.0,244.0,0,0
9393,8991,2019.0,167.0,0,0
9394,2905,2014.0,571.0,0,0
9395,2855,2014.0,976.0,0,0
9396,2897,2014.0,1024.0,0,0
9397,11913,2021.0,172.0,0,0
9398,11912,2021.0,172.0,0,0
9399,7864,2018.0,4249.6,0,0
9400,10586,2020.0,4249.6,0,0
9401,-5215,0.0,0.0,0,0
9402,8220,2019.0,192.0,0,0
9403,6577,2018.0,8744.96,0,0
9404,11604,2021.0,15616.0,0,0
9405,7891,2019.0,9717.76,0,0
9406,9617,2020.0,11550.72,0,0
9407,13284,2021.0,0.0,0,0
9408,13283,2021.0,0.0,0,0
9409,2133,2013.0,4505.6,0,0
9410,3235,2015.0,6963.2,0,0
9411,8805,2019.0,0.0,0,0
9412,6514,2018.0,14643.2,0,0
9413,8621,2019.0,8960.0,0,0
9414,11716,2021.0,14673.92,0,0
9415,4730,2016.0,1740.8,0,0
9416,5178,2017.0,326.0,0,0
9417,6263,2017.0,9697.28,0,0
9418,6268,2017.0,9697.28,0,0
9419,6393,2017.0,9922.56,0,0
9420,6269,2017.0,9697.28,0,0
